"kappa_max_liq_aux","kappa_liq_aux","mu_liq_aux","kappa_max_vap_aux","kappa_vap_aux","mu_vap_aux","beta_max_aux","beta_aux","pI_aux","vI_aux","TI_aux","gx","jump_alpha","jump_pressure_liquid","jump_pressure_vapor","jump_rho_liquid","jump_rho_vapor","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
99.967433226657391288,0.0011362958645148551595,0.0011362958645148551595,63.410895787567170601,0.010140688512553557021,0.010140688512553557021,6.238785300277335466,0.012482904713765195781,1.9217881725782877123,0,599.95248137321027571,0,0.00058405381581971838045,589.37978604435920715,589.38470379263162613,0.014664630607967410469,0.004805014033081533853,0,201,201,3
99.973568580977200781,0.00095796039632348281741,0.00095796039632348281741,63.41339810287031753,0.0085500097649340647821,0.0085500097649340647821,6.2406500559564968,0.010359536786553366627,1.9216761521323755257,0,599.94798290906396687,0,0.00079869723178127571828,497.0389457643032074,497.04196714609861374,0.011106312494121084455,0.0040446517467103149102,0,202,202,3
99.979094714544302747,0.00080735550726696101841,0.00080735550726696101841,63.415667978180067621,0.0072064738159613572072,0.0072064738159613572072,6.2423388500507375198,0.0096257233713575758582,1.9215732567724461699,0,599.94387140911555889,0,0.00036058250629089627637,419.01881320029497147,419.02026078850030899,0.0086023719622971839271,0.0033721095032888115384,0,203,203,3
99.984138765778567404,0.00069377516591592985722,0.00069377516591592985722,63.41774347212252394,0.0061931890806139148348,0.0061931890806139148348,6.2438786825864172059,0.018294565423468481247,1.9214800322805984933,0,599.94008688269013874,0,0.0014097409453830422876,360.16557030379772186,360.16742601990699768,0.0075584740334306843579,0.0029431250615061799181,0,204,204,3
99.988757100335789119,0.00070740844495877260034,0.00070740844495877260034,63.419644938332112361,0.0063153545341761178553,0.0063153545341761178553,6.2452861061342703763,0.020802704846019509644,1.921383752652941368,0,599.93658253254602641,0,0.0016026516717251304556,367.33182281255722046,367.33191832900047302,0.0063616442398597428109,0.0029332575913940672763,0,205,205,3
99.993021455520249674,0.00052264036784556953952,0.00052264036784556953952,63.421396440235682235,0.0046662056813183225984,0.0046662056813183225984,6.2465821016885003658,0.0059704189855704775658,1.9212797751820525072,0,599.93336494450716145,0,0.00035380054355504952923,271.44874156266450882,271.45013806223869324,0.0058623411719054274727,0.0022134802275672882388,0,206,206,3
99.996940113455764276,0.00064868710313537893131,0.00064868710313537893131,63.422999013367558518,0.005791932295134208375,0.005791932295134208375,6.2477602355514116894,0.052463002057722175897,1.9211768563817774869,0,599.9303588588591083,0,0.0040401775973801790087,336.98301614075899124,336.98328550904989243,0.0055495977189821132924,0.0027237752133260073606,0,207,207,3
100.00056073784753607,0.00044004464263346722329,0.00044004464263346722329,63.424476899842325395,0.003929273924248679814,0.003929273924248679814,6.2488509876401643339,0.1428634118544562237,1.9210332880843106196,0,599.92761503343285767,0,0.010999995861659783714,228.63925796002149582,228.63979598134756088,0.0047942047235665086191,0.0017994015051385758852,0,208,208,3
100.00389008530710555,0.00047838795706026826125,0.00047838795706026826125,63.425826865920100772,0.0042719169828990804366,0.0042719169828990804366,6.2498362201437895891,0.17106879312669881488,1.9207206947342916337,0,599.92505059769609943,0,0.013169637694538049999,248.60386227071285248,248.60563019663095474,0.0049854849335133621935,0.0020866132595642739034,0,209,209,3
100.00695096093832603,0.0004866299147132811722,0.0004866299147132811722,63.427069393337646375,0.0043457004997244806296,0.0043457004997244806296,6.2507459868428902894,0.33986811412056089354,1.9200450677542355571,0,599.92267831377978382,0,0.026160753186352803112,252.92649999260902405,252.92564953118562698,0.0038895566094652167521,0.002127503171038824803,0,210,210,3
